OBJECTID,NUM_Ped_Bike_Crashes,NUM_MotoristCrashes,NUM_Ped_Bike_Killed,NUM_Ped_Bike_SeriousInjury,NUM_Motorist_Killed,NUM_Motorist_SeriousInjury,KSI_Revised,Street,HIN_Version,GlobalID,Shape__Length
33884,0.0,2.0,0.0,0.0,1.0,1.0,6,Beatties Ford Rd,2013-2017,fd6b883b-214e-453c-991f-744e1ee151d5,2485.08805022525
33963,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2013-2017,36ee3871-db4a-40e3-b5a4-1a67a2c5cc87,2064.4681324074
33972,0.0,2.0,0.0,0.0,1.0,1.0,6,Beatties Ford Rd,2016-2020,847a7d72-753a-4358-bf6b-cbb9868cd050,2067.47348635617
33987,2.0,1.0,1.0,1.0,0.0,1.0,9,Beatties Ford Rd,2018-2022,1ca2e2b5-c3ab-4b41-a167-9f882b5144a8,2485.35149293112
34125,4.0,4.0,1.0,3.0,1.0,3.0,22,Beatties Ford Rd,2018-2022,10452932-a8b5-40db-b758-7ec962f32d9d,2485.35067985382
34201,0.0,2.0,0.0,0.0,0.0,2.0,2,Beatties Ford Rd,2019-2023,3e564c23-6a23-40d3-babb-d92675c50acc,2485.35070712893
34260,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2019-2023,a7347b84-5a37-415c-9068-ab9ee7048138,2485.35082209921
34389,2.0,2.0,1.0,1.0,1.0,1.0,14,Beatties Ford Rd,2016-2020,54ba2b81-2e3d-455c-af1d-01568b0b8265,2485.35149293112
34467,0.0,2.0,0.0,0.0,1.0,1.0,6,Beatties Ford Rd,2017-2021,4ec67936-a741-4799-8380-99a1f0dbb24d,2067.47348635617
34547,0.0,1.0,0.0,0.0,0.0,1.0,1,Beatties Ford Rd,2014-2018,9e17a1a5-aea6-40f7-b4f7-08aa4b89475b,2485.35070858379
34826,1.0,0.0,1.0,0.0,0.0,0.0,5,Beatties Ford Rd,2019-2023,fd0a3b66-c680-4acc-8d4c-295c11a90fde,2485.35116742457
34917,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2017-2021,2c794088-7f20-4ddc-bc34-1bd8d29e6399,2485.35108492037
34960,0.0,1.0,0.0,0.0,0.0,1.0,1,Beatties Ford Rd,2013-2017,b1f769cc-40a3-4b67-bd7e-ec0080bca509,2482.98443257727
35050,1.0,0.0,0.0,1.0,0.0,0.0,3,Beatties Ford Rd,2013-2017,4d9409d1-b875-473d-b8bd-7808be1ad429,2484.51967026178
35100,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2013-2017,503b01af-5849-44f5-9f47-c84129a340e2,2483.88993093892
