OBJECTID,CRASH ID,CRASH LEVEL CODE,CRASH LEVEL,CRASH TYPE (Code),CRASH TYPE,DATE,YEAR,DAY OF MONTH,MONTH,DAY (Code),DAY OF WEEK (Code),DAY OF WEEK,TIME (Military),CASE NUMBER,LATITUDE,LONGITUDE,x,y
455920,1257766,2,Serious injury,14,Pedestrian,25/05/2024,2024,5,May,25,7,Saturday,1710,20240525171001,35.183219,-80.852264,-9000433.219,4188808.77
455936,1257782,2,Serious injury,1,Ran off road right,25/05/2024,2024,5,May,25,7,Saturday,1947,20240525194702,35.382709,-80.753852,-8989478.043,4216013.106
455973,1257819,2,Serious injury,2,Ran off road left,26/05/2024,2024,5,May,26,1,Sunday,0224,20240526022401,35.233639,-80.848577,-9000022.784,4195678.192
456038,1257884,2,Serious injury,23,Left turn; same roadway,26/05/2024,2024,5,May,26,1,Sunday,2034,20240526203401,35.317494,-80.776222,-8991968.26,4207112.396
456111,1257957,2,Serious injury,14,Pedestrian,27/05/2024,2024,5,May,27,2,Monday,2017,20240527201701,35.135274,-80.893236,-9004994.202,4182280.503
456571,1258417,1,fatality,27,Head On,28/05/2024,2024,5,May,28,3,Tuesday,1624,20240528162400,35.444505,-80.832347,-8998216.07,4224453.823
456843,1258689,2,Serious injury,1,Ran off road right,03/06/2024,2024,6,June,3,2,Monday,0800,20240603080600,35.257931,-80.795772,-8994144.557,4198989.356
456944,1258790,1,fatality,28,Sideswipe; same direction,04/06/2024,2024,6,June,4,3,Tuesday,0219,20240604021902,35.224588,-80.855648,-9000809.924,4194444.734
457314,1259160,2,Serious injury,23,Left turn; same roadway,07/06/2024,2024,6,June,7,6,Friday,1429,20240607142903,35.328078,-80.957526,-9012150.936,4208556.439
457381,1259228,1,fatality,14,Pedestrian,03/06/2024,2024,6,June,3,2,Monday,0815,20240603081501,35.082100,-80.718164,-8985505.27,4175044.743
457870,1259717,1,fatality,14,Pedestrian,10/06/2024,2024,6,June,10,2,Monday,2158,20240610215802,35.241501,-80.796202,-8994192.424,4196749.727
457945,1259792,2,Serious injury,23,Left turn; same roadway,11/06/2024,2024,6,June,11,3,Tuesday,1418,20240611141803,35.148696,-80.925446,-9008579.804,4184107.676
458225,1260165,1,fatality,15,Pedalcyclist,09/06/2024,2024,6,June,9,1,Sunday,2200,20240609220001,35.258123,-80.782298,-8992644.638,4199015.53
458254,1260194,1,fatality,15,Pedalcyclist,12/06/2024,2024,6,June,12,4,Wednesday,1828,20240612182803,35.163561,-80.968888,-9013415.747,4186131.64
458290,1260254,2,Serious injury,17,Animal,14/06/2024,2024,6,June,14,6,Friday,1533,20240614153302,35.244323,-80.737609,-8987669.879,4197134.372
458708,1260672,2,Serious injury,2,Ran off road left,18/06/2024,2024,6,June,18,3,Tuesday,1712,20240618171200,35.410564,-80.848994,-9000069.205,4219817.02
458727,1260691,2,Serious injury,30,Angle,18/06/2024,2024,6,June,18,3,Tuesday,2045,20240618204501,35.251251,-80.747319,-8988750.792,4198078.728
459024,1260995,1,fatality,21,Rear end; slow or stop,18/06/2024,2024,6,June,18,3,Tuesday,1828,20240618182803,35.201227,-80.780478,-8992442.036,4191261.763
460203,1262548,2,Serious injury,14,Pedestrian,06/07/2024,2024,7,July,6,7,Saturday,0145,20240706014502,35.220324,-80.813444,-8996111.795,4193863.689
461216,1263561,1,fatality,14,Pedestrian,14/07/2024,2024,7,July,14,1,Sunday,0227,20240714022702,35.202919,-80.737801,-8987691.252,4191492.27
461354,1263699,2,Serious injury,1,Ran off road right,17/07/2024,2024,7,July,17,4,Wednesday,2228,20240717222801,35.242124,-80.737877,-8987699.713,4196834.643
461375,1263720,2,Serious injury,21,Rear end; slow or stop,17/07/2024,2024,7,July,17,4,Wednesday,1329,20240717132900,35.224392,-80.883265,-9003884.236,4194418.024
461650,1263995,2,Serious injury,19,Fixed object,20/07/2024,2024,7,July,20,7,Saturday,0232,20240720023201,35.213410,-80.876470,-9003127.82,4192921.6
461705,1264050,2,Serious injury,14,Pedestrian,14/07/2024,2024,7,July,14,1,Sunday,0107,20240714010701,35.224819,-80.840800,-8999157.052,4194476.212
462125,1264471,2,Serious injury,29,Sideswipe; opposite direction,16/07/2024,2024,7,July,16,3,Tuesday,1951,20240716195100,35.396762,-80.850756,-9000265.35,4217932.037
462272,1264618,1,fatality,27,Head On,20/07/2024,2024,7,July,20,7,Saturday,2140,20240720214001,35.193768,-80.782635,-8992682.152,4190245.655
462415,1264761,1,fatality,23,Left turn; same roadway,28/07/2024,2024,7,July,28,1,Sunday,0944,20240728094404,35.211079,-80.695201,-8982949.041,4192604.001
462582,1264928,1,fatality,14,Pedestrian,14/07/2024,2024,7,July,14,1,Sunday,1649,20240714164900,35.267143,-80.837486,-8998788.139,4200245.272
462583,1264929,1,fatality,28,Sideswipe; same direction,21/07/2024,2024,7,July,21,1,Sunday,1817,20240721181701,35.241168,-80.697925,-8983252.275,4196704.34
462586,1264932,1,fatality,23,Left turn; same roadway,22/07/2024,2024,7,July,22,2,Monday,2045,20240722204500,35.350397,-80.863867,-9001724.86,4211602.183
462739,1265085,2,Serious injury,2,Ran off road left,30/07/2024,2024,7,July,31,4,Wednesday,0016,20240731001601,35.221398,-80.901112,-9005870.955,4194010.037
462905,1265251,2,Serious injury,21,Rear end; slow or stop,31/07/2024,2024,8,August,1,5,Thursday,0054,20240801005600,35.263036,-80.763104,-8990507.971,4199685.328
462908,1265254,2,Serious injury,21,Rear end; slow or stop,01/08/2024,2024,8,August,1,5,Thursday,0526,20240801052601,35.316228,-80.771520,-8991444.836,4206939.681
463272,1265618,2,Serious injury,1,Ran off road right,04/08/2024,2024,8,August,4,1,Sunday,1103,20240804110301,35.263366,-80.734685,-8987344.381,4199730.319
463394,1265740,1,fatality,14,Pedestrian,12/05/2024,2024,5,May,12,1,Sunday,1441,20240512144101,35.155970,-80.795735,-8994140.437,4185098.032
463540,1265886,2,Serious injury,27,Head On,06/08/2024,2024,8,August,6,3,Tuesday,1241,20240806124104,35.075970,-80.745239,-8988519.246,4174210.894
464733,1267225,1,fatality,14,Pedestrian,19/08/2024,2024,8,August,19,2,Monday,1628,20240819162800,35.100043,-80.778757,-8992250.454,4177485.846
464777,1267287,2,Serious injury,21,Rear end; slow or stop,19/08/2024,2024,8,August,19,2,Monday,2106,20240819210602,35.201347,-80.866033,-9001965.978,4191278.11
464836,1267346,1,fatality,21,Rear end; slow or stop,15/08/2024,2024,8,August,15,5,Thursday,0744,20240815074400,35.213349,-80.755993,-8989716.377,4192913.289
464838,1267348,1,fatality,24,Left turn; different roadways,15/08/2024,2024,8,August,15,5,Thursday,1504,20240815150403,35.147480,-80.811373,-8995881.252,4183942.127
465027,1267537,1,fatality,30,Angle,18/08/2024,2024,8,August,18,1,Sunday,0908,20240818090803,35.311564,-80.837001,-8998734.15,4206303.411
465038,1267548,1,fatality,23,Left turn; same roadway,20/08/2024,2024,8,August,20,3,Tuesday,0338,20240820033801,35.116824,-80.928577,-9008928.345,4179769.347
465262,1267772,1,fatality,14,Pedestrian,18/08/2024,2024,8,August,18,1,Sunday,1702,20240818170205,35.200909,-80.777265,-8992084.366,4191218.441
465503,1268013,1,fatality,1,Ran off road right,22/08/2024,2024,8,August,22,5,Thursday,1015,20240822101505,35.291364,-80.965551,-9013044.274,4203548.121
465566,1268076,2,Serious injury,30,Angle,25/08/2024,2024,8,August,25,1,Sunday,2202,20240825220201,35.305843,-80.749827,-8989029.982,4205522.994
465697,1268207,2,Serious injury,14,Pedestrian,26/08/2024,2024,8,August,26,2,Monday,2147,20240826214702,35.244827,-80.780762,-8992473.651,4197203.069
465778,1268288,1,fatality,1,Ran off road right,23/08/2024,2024,8,August,23,6,Friday,2347,20240823234701,35.209589,-80.757318,-8989863.876,4192400.992
466488,1268998,2,Serious injury,2,Ran off road left,21/08/2024,2024,8,August,21,4,Wednesday,0355,20240821035500,35.302706,-80.728808,-8986690.156,4205095.091
466489,1268999,1,fatality,30,Angle,24/08/2024,2024,8,August,24,7,Saturday,1500,20240824150001,35.233805,-80.816159,-8996414.028,4195700.816
466731,1269241,2,Serious injury,30,Angle,19/07/2024,2024,7,July,19,6,Friday,2314,20240719231401,35.237787,-80.701194,-8983616.179,4196243.523
466752,1269262,1,fatality,14,Pedestrian,01/09/2024,2024,9,September,1,1,Sunday,2212,20240901221400,35.276079,-80.793504,-8993892.084,4201463.698
466802,1269312,2,Serious injury,21,Rear end; slow or stop,04/09/2024,2024,9,September,4,4,Wednesday,1646,20240904164602,35.222285,-80.852624,-9000473.294,4194130.906
466900,1269410,1,fatality,23,Left turn; same roadway,28/08/2024,2024,8,August,28,4,Wednesday,2014,20240828201402,35.226598,-80.747277,-8988746.116,4194718.642
467196,1269706,2,Serious injury,30,Angle,08/09/2024,2024,9,September,8,1,Sunday,0157,20240908015700,35.213993,-80.771310,-8991421.458,4193001.036
