OBJECTID,NUM_Ped_Bike_Crashes,NUM_MotoristCrashes,NUM_Ped_Bike_Killed,NUM_Ped_Bike_SeriousInjury,NUM_Motorist_Killed,NUM_Motorist_SeriousInjury,KSI_Revised,Street,HIN_Version,GlobalID,Shape__Length
28725,1,1,0,1,1,0,8,Parkwood Av,2015-2019,aecefa82-4b1a-446d-ae6f-76c47680ccd3,2275.92505438258
28726,0,2,0,0,1,1,6,Bellhaven Bv,2016-2020,5ca442db-5e18-4e0f-b168-519a98e278ac,2326.92087619611
28727,2,0,1,1,0,0,8,Mulberry Church Rd,2015-2019,f09745e9-8620-4c9b-b015-e0cff0f4f1e6,1024.02665162608
28728,0,1,0,0,1,0,5,N Brevard St,2016-2020,624a12df-f44e-4baf-8ae2-55feda5a0d96,1821.58196087497
28729,0,1,0,0,0,1,1,Beam Rd,2017-2021,3eae4029-22e4-4fb7-9735-3b97f688cb20,2460.04776189811
28730,0,1,0,0,0,1,1,Rea Rd,2013-2017,f5809034-792c-4821-ad75-a693994b7c6b,2626.48244900946
28731,0,1,0,0,0,1,1,Fordham Rd,2017-2021,db6ae737-1523-496d-8be4-e27d03015cca,1923.46060320491
28732,0,1,0,0,0,1,1,Faulconbridge Rd,2019-2023,9731c1ad-2939-4d09-950e-ce3b8ee49ef5,1376.36330287699
28733,0,1,0,0,1,0,5,Lundy Ln,2018-2022,1cc5a4e2-11af-4994-b31c-d59a382adbd6,1478.22139192485
28734,1,0,1,0,0,0,5,Sweetbriar St,2019-2023,1fee49d8-80c2-4e74-a8fc-882601db12d5,391.412745611231
28735,0,1,0,0,0,1,1,Pineville-Matthews Rd,2015-2019,a333f70b-826c-4075-8e95-be0539abc772,2594.41100528904
28736,0,1,0,0,0,1,1,Clanton Rd,2017-2021,c9886ad2-3968-4f67-b098-afdaaf50d1e5,2616.71704446941
28737,0,2,0,0,0,2,2,Fairview Rd,2013-2017,807789e6-5b55-450a-9f0e-28532cd91b38,2385.2301445471
28738,0,1,0,0,1,0,5,Sage Av,2016-2020,6c3e8a2b-4dd2-44e3-8c5d-f485fa060724,861.092308466528
28739,1,0,0,1,0,0,3,E 6th St,2014-2018,0f01fe05-a767-43cb-a736-c128de1e7ac2,2069.22003168447
